[mams-school][${env:SERVER_PORT}] 2021-05-25 22:51:34,481 INFO [http-nio-8082-exec-1][DirectJDKLog.java:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:51:34,481 INFO [http-nio-8082-exec-1][FrameworkServlet.java:524] - Initializing Servlet 'dispatcherServlet'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:51:34,493 INFO [http-nio-8082-exec-1][FrameworkServlet.java:546] - Completed initialization in 12 ms
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:51:34,735 INFO [RMI TCP Connection(1)-192.168.1.106][HikariDataSource.java:123] - HikariPool-1 - Start completed.
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:39,138 INFO [main][StartupInfoLogger.java:50] - Starting MamsSchoolApplication on DESKTOP-U5SUJ4I with PID 39208 (D:\graduation\mams\mams-school\target\classes started by tcp666 in D:\graduation\mams)
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:39,146 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:40,010 INFO [main][PostProcessorRegistrationDelegate.java:330] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$7093339] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:40,244 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 8082 (http)
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:40,257 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8082"]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:40,266 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:40,267 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:40,272 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\java\jdk1.8\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;D:\mysql\mysql-8.0.15-winx64\mysql-8.0.15-winx64\bin;D:\java\jdk1.8\bin\;D:\java\jdk1.8\jre\bin\;C:\Users\tcp666\AppData\Local\Microsoft\WindowsApps;;.]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:40,361 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:40,361 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 1181 ms
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:41,076 INFO [main][ExecutorConfigurationSupport.java:171] - Initializing ExecutorService 'applicationTaskExecutor'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:41,157 INFO [main][WelcomePageHandlerMapping.java:56] - Adding welcome page: class path resource [static/index.html]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:41,363 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:41,406 INFO [main][DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-8082"]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:41,425 INFO [main][TomcatWebServer.java:204] - Tomcat started on port(s): 8082 (http) with context path ''
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:41,428 INFO [main][StartupInfoLogger.java:59] - Started MamsSchoolApplication in 2.736 seconds (JVM running for 3.819)
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:41,742 INFO [RMI TCP Connection(2)-192.168.1.106][HikariDataSource.java:110] - HikariPool-1 - Starting...
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:41,743 INFO [RMI TCP Connection(1)-192.168.1.106][DirectJDKLog.java:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:41,743 INFO [RMI TCP Connection(1)-192.168.1.106][FrameworkServlet.java:524] - Initializing Servlet 'dispatcherServlet'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:41,749 INFO [RMI TCP Connection(1)-192.168.1.106][FrameworkServlet.java:546] - Completed initialization in 6 ms
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:54:41,992 INFO [RMI TCP Connection(2)-192.168.1.106][HikariDataSource.java:123] - HikariPool-1 - Start completed.
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:21,651 INFO [main][StartupInfoLogger.java:50] - Starting MamsSchoolApplication on DESKTOP-U5SUJ4I with PID 35832 (D:\graduation\mams\mams-school\target\classes started by tcp666 in D:\graduation\mams)
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:21,695 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:22,590 INFO [main][PostProcessorRegistrationDelegate.java:330] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$d456ba2b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:22,835 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 8082 (http)
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:22,846 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8082"]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:22,856 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:22,857 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:22,862 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\java\jdk1.8\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;D:\mysql\mysql-8.0.15-winx64\mysql-8.0.15-winx64\bin;D:\java\jdk1.8\bin\;D:\java\jdk1.8\jre\bin\;C:\Users\tcp666\AppData\Local\Microsoft\WindowsApps;;.]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:22,951 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:22,952 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 1218 ms
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:23,694 INFO [main][ExecutorConfigurationSupport.java:171] - Initializing ExecutorService 'applicationTaskExecutor'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:23,781 INFO [main][WelcomePageHandlerMapping.java:56] - Adding welcome page: class path resource [static/index.html]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:23,983 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:24,022 INFO [main][DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-8082"]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:24,041 INFO [main][TomcatWebServer.java:204] - Tomcat started on port(s): 8082 (http) with context path ''
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:24,043 INFO [main][StartupInfoLogger.java:59] - Started MamsSchoolApplication in 2.8 seconds (JVM running for 3.907)
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:24,317 INFO [RMI TCP Connection(2)-192.168.1.106][DirectJDKLog.java:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:24,317 INFO [RMI TCP Connection(1)-192.168.1.106][HikariDataSource.java:110] - HikariPool-1 - Starting...
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:24,317 INFO [RMI TCP Connection(2)-192.168.1.106][FrameworkServlet.java:524] - Initializing Servlet 'dispatcherServlet'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:24,323 INFO [RMI TCP Connection(2)-192.168.1.106][FrameworkServlet.java:546] - Completed initialization in 6 ms
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:55:24,552 INFO [RMI TCP Connection(1)-192.168.1.106][HikariDataSource.java:123] - HikariPool-1 - Start completed.
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:04,401 INFO [main][StartupInfoLogger.java:50] - Starting MamsSchoolApplication on DESKTOP-U5SUJ4I with PID 40328 (D:\graduation\mams\mams-school\target\classes started by tcp666 in D:\graduation\mams)
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:04,413 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:05,480 INFO [main][PostProcessorRegistrationDelegate.java:330] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$cc35b12d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:05,764 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 8082 (http)
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:05,780 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8082"]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:05,789 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:05,789 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:05,799 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\java\jdk1.8\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;D:\mysql\mysql-8.0.15-winx64\mysql-8.0.15-winx64\bin;D:\java\jdk1.8\bin\;D:\java\jdk1.8\jre\bin\;C:\Users\tcp666\AppData\Local\Microsoft\WindowsApps;;.]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:05,904 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:05,904 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 1442 ms
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:06,866 INFO [main][ExecutorConfigurationSupport.java:171] - Initializing ExecutorService 'applicationTaskExecutor'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:06,968 INFO [main][WelcomePageHandlerMapping.java:56] - Adding welcome page: class path resource [static/index.html]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:07,178 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:07,226 INFO [main][DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-8082"]
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:07,246 INFO [main][TomcatWebServer.java:204] - Tomcat started on port(s): 8082 (http) with context path ''
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:07,249 INFO [main][StartupInfoLogger.java:59] - Started MamsSchoolApplication in 3.401 seconds (JVM running for 4.526)
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:07,395 INFO [http-nio-8082-exec-1][DirectJDKLog.java:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:07,395 INFO [http-nio-8082-exec-1][FrameworkServlet.java:524] - Initializing Servlet 'dispatcherServlet'
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:07,418 INFO [http-nio-8082-exec-1][FrameworkServlet.java:546] - Completed initialization in 22 ms
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:07,722 INFO [RMI TCP Connection(3)-192.168.1.106][HikariDataSource.java:110] - HikariPool-1 - Starting...
[mams-school][${env:SERVER_PORT}] 2021-05-25 22:57:07,984 INFO [RMI TCP Connection(3)-192.168.1.106][HikariDataSource.java:123] - HikariPool-1 - Start completed.
